"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar un nuevo usuario","Actualizar datos de un usuario exitosamente","SUCCESS","2024-04-16T09:51:05.1297933-05:00[America/Bogota]","0.0","14.22"
"Agregar un nuevo usuario","Agregar un nuevo usuario exitosamente","SUCCESS","2024-04-16T09:50:18.576448-05:00[America/Bogota]","0.0","7.79"
"Eliminar un usuario exitosamente","Eliminar un usuario exitosamente","SUCCESS","2024-04-16T09:59:34.2103327-05:00[America/Bogota]","0.0","5.68"
"Inicio de sesión de usuario","Error al iniciar sesión debido a campos faltantes","PENDING","2024-04-03T22:29:39.7697095-05:00[America/Bogota]","0.0","0.06"
"Inicio de sesión de usuario","Error al iniciar sesión debido a credenciales inválidas","PENDING","2024-04-03T22:29:39.8793819-05:00[America/Bogota]","0.0","0.06"
"Inicio de sesión de usuario","Error interno al iniciar sesión","PENDING","2024-04-03T22:29:39.9726386-05:00[America/Bogota]","0.0","0.08"
"Inicio de sesión de usuario","Inicio de sesión exitoso","SUCCESS","2024-04-16T10:09:05.6233073-05:00[America/Bogota]","0.0","5.92"
"Obtener todos los usuarios","Obtener todos los usuarios exitosamente","SUCCESS","2024-04-16T10:00:14.3705091-05:00[America/Bogota]","0.0","5.07"
"Reestablecer contraseña","Error al reestablecer contraseña debido a token de recuperación inválido o expirado","PENDING","2024-04-11T09:49:24.0189475-05:00[America/Bogota]","0.0","0.48"
"Reestablecer contraseña","Error al reestablecer contraseña debido a token de recuperación invalido o expirado","PENDING","2024-04-11T09:57:44.2217513-05:00[America/Bogota]","0.0","0.62"
"Reestablecer contraseña","Error al reestablecer contrasena debido a token de recuperación invalido o expirado","ERROR","2024-04-11T10:21:58.2110039-05:00[America/Bogota]","0.0","0.62"
"Reestablecer contraseña","Reestablecer contraseña exitosamente","PENDING","2024-04-14T12:51:05.6202856-05:00[America/Bogota]","0.0","0.55"
"Solicitar recuperación de contraseña","Solicitar recuperacion de contraseña exitosamente","FAILURE","2024-04-14T15:42:53.6423849-05:00[America/Bogota]","0.0","5.06"
"Solicitar recuperacion de contrasena","Solicitar recuperacion de contrasena exitosamente","SUCCESS","2024-04-14T16:27:43.3399213-05:00[America/Bogota]","0.0","5.18"
"Solicitar recuperacion de contrasena","Solicitar recuperacion de contrasena exitosamente de una","SUCCESS","2024-04-16T09:37:13.4109557-05:00[America/Bogota]","0.0","10.72"
